Houston Rockets,,https://www.basketball-reference.com/contracts/HOU.html,,,,,,,,,,,,,,,,,,,"The Cavs will be able to offerÿLeBronÿJames a projectedÿmax contractÿof 5 years, $205M this summer; all other teams can offer 4 years, $152M.",
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,111%,Upside Value,,,,
LaMarcus Aldridge,28.0,,,,10,22,32,0.169622172,,+0.4,+1.0,*,"$22,347,015 ",33,6.2,,,,,,,
Kawhi Leonard,20.4,0,0,0,0,0,0,0,,+2.6,+1.9,,,27,0.0,"$20,099,189 ",<-- Trade w/ CLE,23.2,,,,
Pau Gasol,18.7,,,,3,20,23,0.218218136,,-1.0,+2.2,*,"$16,000,000 ",38,4.1,,,,,,,
Tony Parker,8.8,0,0,0,0,0,0,0,,-1.6,-2.0,,$0 ,36,0.0,,,,,,,
Patrick Mills,21.4,21,,,,,21,0,,+1.4,-1.9,,"$11,571,429 ",30,1.8,,,,,,,
Danny Green,19.1,0,0,0,0,0,0,0,,-1.4,+1.4,,,31,0.0,"$10,000,000",<-- Trade w/ CLE,4.9,,,,
Rudy Gay,14.7,0,0,0,0,0,0,0,,-1.0,+0.7,,$0 ,32,0.0,"$8,826,300",<-- Opt out,,,,,
Manu Ginobili,9.5,,11,8,,,19,0.771785125,,-2.1,-0.8,*,"$2,500,000 ",41,-0.9,,,,,,,
Kyle Anderson,23.5,,,6,18,,24,0,,-0.7,+3.0,,"$8,000,000 ",25,5.8,,<-- Re-sign FA,,,,,
Joffrey Lauvergne,9.4,0,0,0,0,0,0,0,,-1.8,-0.3,,,27,0.0,"$1,656,092 ",<-- Trade w/ CLE,1.2,,,,
Derrick White,12.7,6,6,,,,12,0,,-1.0,+0.1,,"$1,667,160 ",24,0.7,,,,,,,
Dejounte Murray,22.6,12,10,,,,22,0,,-0.8,+1.9,,"$1,544,951 ",22,3.9,,,,,,,
Brandon Paul,7.7,,9,2,,,11,0.199009329,,-2.2,-0.1,*,"$1,378,242 ",27,-0.2,,,,,,,
Tim Duncan,5.7,0,0,0,0,0,0,0,,-1.7,+1.5,,,42,0.0,"$1,881,250 ",Retired,,,,,
LeBron James,33.7,5,,16,15,,36,0.02446579,,+5.4,+0.8,*,"$35,607,968",34,16.5,,<-- Trade w/ CLE,44.2,,,,
No. 18 pick,18.1,,,,,,0,#N/A,,-1.7,-0.5,#N/A,,20,0.0,"$1,690,300 ",<-- Trade w/ ???,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,4,12,16,2,6,40,,,-1.3,-0.2,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+1.1,+3.4,,"$100,616,765",31.2,,,,,,,,
,,Expected Champs,,,,,,,,,,,"$383,235",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"$22,383,235",<< vs. tax,,,,,,,,
SAS,,19%,16%,11%,8%,0.54,45%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,45%,,,,52.7,29.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,,https://www.basketball-reference.com/contracts/GSW.html,,,,,,,,,,,,,,,,,,,,
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,106%,Upside Value,,,,
Stephen Curry,25.5,32,,,,,32,0.388340487,,+6.6,-0.4,*,"$37,457,154 ",30,14.8,,,,Stretch Provision,,,
Kevin Durant,26.8,,,25,9,,34,0.434276182,,+3.4,+0.5,*,"$26,250,000 ",30,11.2,,,,,,,
Klay Thompson,29.0,,34,,,,34,0.253457176,,+1.5,-1.2,*,"$18,988,725 ",28,4.4,,,,,,,
Draymond Green,28.4,0,0,0,0,0,0,0,,+0.9,+3.4,,,28,0.0,"$17,469,565",<-- Trade w/ CLE,32.4,,,,
Andre Iguodala,17.8,0,0,0,0,0,0,0,,-0.6,+1.1,,,35,0.0,"$16,000,000 ",<-- Trade w/ CLE,4.2,,,,
Shaun Livingston,10.4,0,0,0,0,0,0,0,,-2.0,-0.3,,"$3,200,000 ",33,0.0,"$8,307,692",,,,,,
Damian Jones,11.6,,,,,12,12,0,,-1.7,-0.2,,"$1,544,951 ",23,0.1,,,,,,,
Jordan Bell,16.0,,,,5,15,20,0.234306697,,-0.2,+2.7,*,"$1,378,252 ",24,5.1,,,,,,,
Jason Thompson,16.2,0,0,0,0,0,0,0,,-1.7,+0.5,,"$945,126 ",32,0.0,,,,,,,
LeBron James,33.7,,,6,20,10,36,0.02446579,,+5.4,+0.8,*,"$35,607,968",34,16.5,,<-- Trade w/ CLE,44.2,,,,
No. 8 pick (fr/ CLE),18.1,0,0,0,0,0,0,#N/A,,-1.1,-0.3,#N/A,,20,0.0,"$2,917,600 ",<-- Trade w/ CLE,,,,,
No. 28 pick (to CLE),18.1,0,0,0,0,0,0,#N/A,,-2.0,-0.6,#N/A,"$1,179,100 ",20,0.0,,<-- Trade w/ CLE,3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,16,14,17,14,11,72,,,-1.2,-0.2,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+9.6,+0.6,,"$126,551,276",30.5,,,,,,,,
,,Expected Champs,,,,,,,,,,,"-$25,551,276",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"-$3,551,276",<< vs. tax,,,,,,,,
GSW,,46%,27%,15%,13%,1.00,70%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,70%,,,,64.1,17.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,,https://www.basketball-reference.com/contracts/BOS.html,,,,,,,,,,,,,,,,,,,,
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,125%,Upside Value,,,,
Gordon Hayward,13.6,,,14,13,,27,1.014992185,,+1.6,-0.9,*,"$31,214,295 ",28,4.1,,,,,,,
Al Horford,26.2,,,,8,23,31,0.242447099,,+0.4,+1.8,*,"$28,928,710 ",32,7.2,,,,,,,
Kyrie Irving,27.4,0,0,0,0,0,0,0,,+4.2,-1.7,,,26,0.0,"$20,099,188 ",<-- Trade w/ CLE,26.4,,,,
Jayson Tatum,33.3,,8,22,,,30,0,,+1.2,+1.7,,"$6,700,800 ",20,8.2,,,,,,,
Marcus Morris,19.9,0,0,0,0,0,0,0,,-0.6,-0.4,,,29,0.0,"$5,375,000 ",<-- Trade w/ CLE,3.2,,,,
